mysql> source um6p-cs-introdb-2-dml.sql
+-----+
| did |
+-----+
|   0 |
|   2 |
|  11 |
|  21 |
|  32 |
|  38 |
|  39 |
|  40 |
|  46 |
|  63 |
|  66 |
|  67 |
|  74 |
|  75 |
|  78 |
|  81 |
|  85 |
|  94 |
|  96 |
| 102 |
| 105 |
| 107 |
| 110 |
| 112 |
| 113 |
| 115 |
| 126 |
| 132 |
| 138 |
| 143 |
| 148 |
| 169 |
| 173 |
| 179 |
| 193 |
| 198 |
| 208 |
| 213 |
| 214 |
| 217 |
| 225 |
| 226 |
| 236 |
| 238 |
| 240 |
| 242 |
| 245 |
| 249 |
| 250 |
| 260 |
| 262 |
| 274 |
| 275 |
| 283 |
| 287 |
| 289 |
| 294 |
| 296 |
| 298 |
| 302 |
| 312 |
| 316 |
| 317 |
| 320 |
| 325 |
| 329 |
| 345 |
| 349 |
| 353 |
| 358 |
| 359 |
| 361 |
| 365 |
| 366 |
| 367 |
| 377 |
| 389 |
| 399 |
| 400 |
| 415 |
| 428 |
| 442 |
| 466 |
| 467 |
| 468 |
| 472 |
| 474 |
| 477 |
| 478 |
| 481 |
| 486 |
| 488 |
| 489 |
| 490 |
| 492 |
| 500 |
| 501 |
| 506 |
| 510 |
| 511 |
| 513 |
| 523 |
| 534 |
| 551 |
| 561 |
| 570 |
| 578 |
| 579 |
| 589 |
| 595 |
| 601 |
| 606 |
| 607 |
| 613 |
| 617 |
| 621 |
| 630 |
| 633 |
| 638 |
| 642 |
| 649 |
| 651 |
| 655 |
| 656 |
| 657 |
| 658 |
| 659 |
| 661 |
| 663 |
| 669 |
| 670 |
| 677 |
| 685 |
| 694 |
| 717 |
| 721 |
| 722 |
| 729 |
| 732 |
| 736 |
| 739 |
| 742 |
| 744 |
| 752 |
| 756 |
| 757 |
| 764 |
| 765 |
| 771 |
| 775 |
| 780 |
| 789 |
| 799 |
| 810 |
| 822 |
| 823 |
| 825 |
| 830 |
| 836 |
| 842 |
| 844 |
| 849 |
| 854 |
| 855 |
| 856 |
| 861 |
| 862 |
| 868 |
| 870 |
| 873 |
| 874 |
| 888 |
| 894 |
| 905 |
| 907 |
| 921 |
| 951 |
| 976 |
| 978 |
| 982 |
| 988 |
| 993 |
+-----+
182 rows in set (0.00 sec)

+-----+
| pid |
+-----+
|   0 |
|   1 |
|   2 |
|   3 |
|   4 |
|   5 |
|   6 |
|   7 |
|   8 |
|   9 |
|  10 |
|  11 |
|  13 |
|  14 |
|  15 |
|  17 |
|  18 |
|  19 |
|  22 |
|  23 |
|  24 |
|  25 |
|  26 |
|  27 |
|  29 |
|  30 |
|  31 |
|  33 |
|  35 |
|  37 |
|  38 |
|  39 |
|  41 |
|  43 |
|  44 |
|  45 |
|  46 |
|  52 |
|  53 |
|  54 |
|  55 |
|  56 |
|  59 |
|  60 |
|  63 |
|  64 |
|  65 |
|  67 |
|  69 |
|  71 |
|  72 |
|  74 |
|  75 |
|  77 |
|  79 |
|  81 |
|  82 |
|  83 |
|  84 |
|  85 |
|  86 |
|  88 |
|  98 |
|  99 |
| 100 |
| 101 |
| 103 |
| 104 |
| 105 |
| 107 |
| 109 |
| 110 |
| 111 |
| 112 |
| 113 |
| 114 |
| 116 |
| 117 |
| 118 |
| 119 |
| 120 |
| 121 |
| 122 |
| 124 |
| 125 |
| 128 |
| 130 |
| 131 |
| 132 |
| 133 |
| 134 |
| 135 |
| 136 |
| 137 |
| 139 |
| 140 |
| 141 |
| 142 |
| 143 |
| 144 |
| 145 |
| 146 |
| 148 |
| 149 |
| 150 |
| 152 |
| 153 |
| 155 |
| 156 |
| 158 |
| 159 |
| 164 |
| 165 |
| 167 |
| 168 |
| 169 |
| 171 |
| 172 |
| 173 |
| 175 |
| 176 |
| 177 |
| 179 |
| 180 |
| 181 |
| 183 |
| 185 |
| 186 |
| 189 |
| 191 |
| 197 |
| 198 |
| 199 |
| 200 |
| 201 |
| 202 |
| 203 |
| 204 |
| 207 |
| 211 |
| 214 |
| 215 |
| 216 |
| 217 |
| 220 |
| 221 |
| 222 |
| 223 |
| 227 |
| 228 |
| 229 |
| 230 |
| 231 |
| 232 |
| 235 |
| 236 |
| 244 |
| 249 |
| 250 |
| 251 |
| 253 |
| 254 |
| 255 |
| 256 |
| 261 |
| 263 |
| 264 |
| 265 |
| 269 |
| 270 |
| 271 |
| 272 |
| 276 |
| 277 |
| 278 |
| 279 |
| 283 |
| 286 |
| 287 |
| 288 |
| 289 |
| 290 |
| 291 |
| 292 |
| 294 |
| 295 |
| 297 |
| 298 |
| 301 |
| 303 |
| 304 |
| 305 |
| 308 |
| 309 |
| 310 |
| 311 |
| 313 |
| 314 |
| 316 |
| 317 |
| 318 |
| 320 |
| 321 |
| 323 |
| 324 |
| 327 |
| 331 |
| 332 |
| 333 |
| 335 |
| 336 |
| 337 |
| 338 |
| 339 |
| 340 |
| 341 |
| 343 |
| 346 |
| 347 |
| 348 |
| 356 |
| 357 |
| 359 |
| 360 |
| 361 |
| 363 |
| 364 |
| 365 |
| 366 |
| 368 |
| 370 |
| 374 |
| 375 |
| 376 |
| 377 |
| 378 |
| 380 |
| 381 |
| 382 |
| 386 |
| 389 |
| 391 |
| 392 |
| 394 |
| 396 |
| 397 |
| 399 |
| 400 |
| 401 |
| 402 |
| 403 |
| 405 |
| 409 |
| 410 |
| 411 |
| 413 |
| 414 |
| 415 |
| 416 |
| 417 |
| 418 |
| 427 |
| 428 |
| 430 |
| 431 |
| 432 |
| 433 |
| 434 |
| 435 |
| 436 |
| 437 |
| 440 |
| 441 |
| 442 |
| 445 |
| 447 |
| 448 |
| 449 |
| 450 |
| 452 |
| 453 |
| 456 |
| 457 |
| 458 |
| 459 |
| 460 |
| 461 |
| 462 |
| 463 |
| 464 |
| 468 |
| 471 |
| 473 |
| 476 |
| 479 |
| 480 |
| 482 |
| 483 |
| 484 |
| 485 |
| 487 |
| 489 |
| 492 |
| 495 |
| 496 |
| 498 |
| 499 |
| 502 |
| 504 |
| 505 |
| 506 |
| 509 |
| 511 |
| 512 |
| 513 |
| 514 |
| 515 |
| 516 |
| 518 |
| 519 |
| 520 |
| 524 |
| 525 |
| 526 |
| 528 |
| 531 |
| 532 |
| 533 |
| 534 |
| 537 |
| 538 |
| 539 |
| 540 |
| 541 |
| 545 |
| 546 |
| 551 |
| 552 |
| 553 |
| 555 |
| 556 |
| 557 |
| 558 |
| 559 |
| 561 |
| 562 |
| 563 |
| 565 |
| 568 |
| 570 |
| 573 |
| 574 |
| 578 |
| 580 |
| 582 |
| 584 |
| 586 |
| 587 |
| 588 |
| 590 |
| 591 |
| 592 |
| 593 |
| 596 |
| 598 |
| 599 |
| 600 |
| 602 |
| 603 |
| 604 |
| 605 |
| 610 |
| 611 |
| 617 |
| 618 |
| 619 |
| 620 |
| 621 |
| 626 |
| 629 |
| 630 |
