did,Region,Status,Status II,Volume per container,Estimated Freight,Country,Discharging Port,Type TC,Delivery Mode,Avis de Chargement status,Fret réel,Transit time,Supplier,Shipped Via,Shipping Line ,PORT LOADING,Transporter,1/2 jours,1 JOURS,2 JOURS,3 JOURS
0,Africa,Invoiced,CONFIRMED,20,44,Nigeria,LAT KRABANG,,Truck,Sent,40,15.0,SVN,MAERSK,BDP,CASABLANCA,SEALAND,,,,
1,Americas,Deal concluded,CONFIRMED,25,20,Greece,BUENOS AIRES,,Container,Sent,19,30.0,SVN,MAERSK,SEALAND,JORF LASFAR,MAERSK,,1.0,,
2,Africa,Deal concluded,CONFIRMED,20,0,Nigeria,BUENOS AIRES,20',Container,Sent,40,30.0,IPSEN,HAPAG LLOYD,HAPAG LLOYD,TANGER,MAERSK,,,,
3,Local Market,Finalized,CONFIRMED,20,44,Nigeria,LAGOS,20',Truck,Sent,0,,IPSEN,SEALAND,HAPAG LLOYD,,HAPAG LLOYD,,1.0,,
4,Local Market,Invoiced,CONFIRMED,20,25,Argentina,,20',Truck,Sent,33,30.0,IPSEN,HAPAG LLOYD,CMA CGM,,SEALAND,3.0,,,
5,Local Market,Deal concluded,CONFIRMED,22,0,Greece,LAGOS,20',Truck,Sent,27,,IPSEN,SEALAND,BDP,TANGER,GAMMA,3.0,,,
6,Local Market,Deal concluded,CONFIRMED,20,44,Nigeria,BUENOS AIRES,20',Container,Sent,40,15.0,IPSEN,CMA CGM,HAPAG LLOYD,CASABLANCA,CMA CGM,,1.0,,
7,Americas,Finalized,CONFIRMED,25,25,Morocco,LAT KRABANG,,Vessel,Sent,0,25.0,SVN,MAERSK,SEALAND,JORF LASFAR,SEALAND,,,,
8,Americas,Finalized,CONFIRMED,20,25,Greece,LAGOS,,Vessel,Sent,40,25.0,IPSEN,HAPAG LLOYD,CMA CGM,CASABLANCA,SEALAND,,,,
9,Americas,Finalized,CONFIRMED,20,44,Greece,LAGOS,20',Container,Sent,19,,SVN,CMA CGM,HAPAG LLOYD,,GAMMA,,,,
10,Europe,Deal concluded,CONFIRMED,25,0,Greece,BUENOS AIRES,20',Container,Sent,19,25.0,SVN,CMA CGM,SEALAND,CASABLANCA,HAPAG LLOYD,,,,
