belongsid,sid,od
0,88,50
1,71,87
2,28,99
3,13,98
4,57,34
5,54,15
6,74,10
7,85,28
8,39,40
9,80,70
10,96,69
11,27,15
12,67,78
13,68,66
14,65,22
15,31,71
16,60,33
17,55,48
18,15,78
19,12,70
20,70,62
21,29,99
22,59,61
23,28,44
24,64,8
25,45,64
26,98,59
27,15,53
28,43,44
29,11,79
30,82,62
31,29,43
32,14,89
33,47,41
34,22,54
35,92,58
36,64,25
37,31,30
38,41,84
39,91,50
40,56,53
41,40,33
42,13,2
43,12,30
44,2,28
45,51,79
46,55,69
47,12,81
48,94,70
49,71,66
50,71,3
51,37,11
52,6,88
53,63,81
54,36,74
55,58,68
56,94,26
57,57,46
58,5,39
59,56,48
60,4,42
61,87,9
62,75,63
63,32,14
64,100,5
65,55,2
66,84,29
67,20,30
68,5,4
69,24,74
70,37,36
71,42,72
72,26,5
73,45,90
74,84,76
75,4,52
76,83,95
77,56,83
78,52,65
79,33,19
80,66,41
81,19,83
82,81,63
83,92,20
84,70,50
85,10,36
86,24,8
87,61,87
88,48,66
89,91,50
90,60,54
91,51,93
92,79,8
93,13,29
94,52,71
95,19,99
96,15,23
97,38,22
98,23,17
99,55,2
