"region","tdate","country","discharging_port","delivery_mode","customer_name","customer_group","category","pid","pallets","branding","total_volume","volume_per_container","incoterm","status1","Status2","payment_terms","payment_terms_days","price","estimated_freight","estimated_fob","sales_order","od","supplier","transporter","inspection","shipping_line","shipped_via","loading_date_at_plant","quantity_removed_from_the_site","stuffing_date","real_freight","real_fob","blno","sequence_date","transit_time","bldate","net_quantity","clearance_date","userComment","type_tc","port_loading","freight_invoice","freight_invoice2","freight_invoice3","days_of_storage","storage_cost","days_of_storage2","storage_cost2","days_of_storage3","storage_cost3","jours_half","jours_1","jours_2","jours_3","ac_status","contract_id","contract_status","invoice","Payment_status"
"Local Market","2022-07-03","Argentina","LAGOS","Container","CPF (Thailand) Public Company Limited","Vial/Vitafort","MCP","0","1 pallet per 2 BB","Phosfeed","4400","25","CFR","Finalized","CONFIRMED","L/C","90","610","25","40","1634","0","ONCF","MAERSK","Inspectorate","BDP","MAERSK","2022-04-15","1320","2022-05-29","0","40","1236876312","2022-05-17","60","2022-09-23","100","2022-09-23","","2555","JORF LASFAR","137986.14","0","0","0","0","0","0","0","0","0","1","0","0","Sent","1383","Signed OCP","18452","Paid"
"Asia","2022-04-02","Greece","LAT KRABANG","Vessel","Vial/Vitafort","GREEFOS","MDCP","0","1 pallet per BB","Phosfeed","4400","22","CFR","Delivery in progress","CONFIRMED","D/A","15","740","30","0","1634","1","SVN","GAMMA","Inspectorate","MAERSK","SEALAND","2022-04-15","605","0000-00-00","33","33","1236876312","2022-12-20","60","0000-00-00","550","2022-12-25","","","TANGER","0","0","0","0","0","0","0","0","0","0","1","0","0","Sent","1383","Signed OCP","18668","Paid\"
"Local Market","2022-04-02","Morocco","","Container","GREEFOS","ESIFAR","MCP","0","1 pallet per BB","Phosfeed","4400","20","CFR","Finalized","CONFIRMED","D/A","0","610","25","37","1634","2","IPSEN","CMA CGM","Inspectorate","SEALAND","SEALAND","2022-11-18","4840","2022-04-27","0","33","237739812","0000-00-00","60","2022-12-25","100","0000-00-00","","20'","TANGER","116","0","0","0","84.91","0","0","0","0","0","1","0","0","Sent","1398","Signed OCP","19423","Not Paid\"
"Local Market","2022-07-03","Thailand","THESSALONIKI","Container","GREEFOS","GREEFOS","MDCP","0","1 pallet per BB","Phosfeed","100","25","CFR","Deal concluded","CONFIRMED","CAD","0","690","25","35","1743","3","IPSEN","HAPAG LLOYD","Inspectorate","HAPAG LLOYD","HAPAG LLOYD","2022-08-17","605","2022-05-29","19","0","1236876312","2022-12-20","0","2022-05-22","1200","2022-09-23","","","","116","2280.23","0","0","0","0","0","0","0","0","0","0","0","Sent","1398","Signed OCP","18668","Paid\"
"Africa","2022-10-04","Morocco","THESSALONIKI","Container","Vial/Vitafort","GREEFOS","MDCP","0","1 pallet per BB","Phosfeed","4400","22","CFR","Finalized","CONFIRMED","L/C","60","740","44","40","1435","4","SVN","GAMMA","Inspectorate","HAPAG LLOYD","HAPAG LLOYD","2022-05-17","605","2022-08-29","27","38","0","0000-00-00","30","2022-12-25","4434","2022-09-23","","20'","JORF LASFAR","137986.14","0","0","2","84.91","0","0","0","0","3","0","0","0","Sent","1443","Signed OCP","19423","Paid\"
"Africa","2022-04-02","Greece","LAT KRABANG","Container","ALF AMMAR","ALF AMMAR","MDCP","0","1 pallet per BB","Neutre","4400","20","CFR","Delivery in progress","CONFIRMED","L/C","15","740","44","0","1435","5","ONCF","SEALAND","Inspectorate","SEALAND","SEALAND","2022-08-17","1320","2022-05-29","19","40","0","0000-00-00","60","2022-09-23","100","2022-12-25","","","CASABLANCA","137986.14","0","0","2","0","0","0","0","0","0","1","0","0","Sent","1443","Signed OCP","19423","Paid\"
"Americas","2022-07-03","Nigeria","LAGOS","Vessel","ESIFAR","ESIFAR","MCP","0","1 pallet per BB","Phosfeed","550","22","CFR","Invoiced","CONFIRMED","CAD","60","730","0","37","1435","6","ONCF","GAMMA","Inspectorate","HAPAG LLOYD","SEALAND","2022-04-15","1320","0000-00-00","33","38","0","2022-05-17","30","2022-06-23","440","0000-00-00","","20'","TANGER","137986.14","0","0","0","0","0","0","0","0","3","0","0","0","Sent","1382","Draft","18668","Paid\"
"Local Market","2022-03-01","Nigeria","LAT KRABANG","Vessel","CPF (Thailand) Public Company Limited","ALF AMMAR","DCP","0","1 pallet per BB","Phosfeed","100","20","CIF","Delivery in progress","CONFIRMED","CAD","90","780","20","37","1843","7","IPSEN","MAERSK","Inspectorate","CMA CGM","MAERSK","2022-11-18","1320","0000-00-00","33","40","0","2022-05-17","25","2022-05-22","550","2022-05-22","","","CASABLANCA","116","0","0","0","0","0","0","0","0","0","1","0","0","Sent","1982","Signed OCP","18452","Paid\"
"Local Market","2022-04-02","Thailand","LAGOS","Truck","ESIFAR","GREEFOS","MDCP","0","1 pallet per 2 BB","Phosfeed","550","22","CIF","Finalized","CONFIRMED","CAD","60","690","44","37","1743","8","IPSEN","SEALAND","Inspectorate","BDP","MAERSK","2022-04-15","605","2022-11-30","33","36","237739812","2022-12-20","0","2022-09-23","1200","2022-05-22","","20'","","0","0","0","0","0","0","0","0","0","0","0","0","0","Sent","1382","Signed OCP","19423","Paid\"
"Africa","2022-04-02","Morocco","BUENOS AIRES","Truck","Vial/Vitafort","GREEFOS","MDCP","0","1 pallet per BB","Phosfeed","100","22","CFR","Deal concluded","CONFIRMED","Cable bank transfer","45","690","0","37","1843","9","SVN","MAERSK","Inspectorate","SEALAND","SEALAND","2022-11-19","484","2022-08-29","40","0","0","2022-06-18","25","2022-06-23","4434","2022-09-23","","","JORF LASFAR","119178.58","0","0","0","0","0","0","0","0","0","0","0","0","Sent","1382","Signed OCP","18452","Paid\"
"Americas","2022-03-01","Morocco","LAGOS","Container","GREEFOS","Vial/Vitafort","MCP","0","1 pallet per 2 BB","Neutre","440","22","CFR","Deal concluded","CONFIRMED","L/C","15","730","20","37","1743","10","IPSEN","SEALAND","Inspectorate","CMA CGM","SEALAND","2022-05-17","4840","2022-05-29","33","33","0","2022-12-20","60","0000-00-00","440","2022-09-23","","20'","JORF LASFAR","0","0","0","0","0","0","0","0","0","0","0","0","0","Sent","1982","Draft","19832","Paid\"
"Local Market","2022-03-01","Morocco","","Vessel","CPF (Thailand) Public Company Limited","ALF AMMAR","MDCP","0","1 pallet per 2 BB","Phosfeed","1200","20","CFR","Deal concluded","CONFIRMED","CAD","0","780","30","35","1772","11","IPSEN","CMA CGM","Inspectorate","BDP","CMA CGM","2022-08-17","1320","2022-05-29","33","36","0","2022-05-17","0","2022-05-22","4434","2022-09-23","","20'","CASABLANCA","0","0","0","0","0","0","0","0","0","0","0","0","0","Sent","1443","Signed OCP","18452","Paid\"
"Americas","2022-04-02","Nigeria","LAT KRABANG","Container","CPF (Thailand) Public Company Limited","Vial/Vitafort","DCP","0","1 pallet per 2 BB","Phosfeed","1200","22","CFR","Deal concluded","CONFIRMED","Cable bank transfer","60","780","25","0","1843","12","IPSEN","SEALAND","Inspectorate","SEALAND","CMA CGM","2022-04-15","484","2022-11-30","27","36","237739812","2022-09-18","30","2022-12-25","100","2022-05-22","","20'","TANGER","119178.58","2280.23","0","0","0","0","0","0","0","0","0","0","0","Sent","1982","Signed OCP","19832","Paid\"
"Europe","2022-04-02","Morocco","LAGOS","Container","GREEFOS","GREEFOS","MDCP","0","1 pallet per BB","Phosfeed","100","20","CFR","Deal concluded","CONFIRMED","Cable bank transfer","45","730","0","37","1772","13","ONCF","HAPAG LLOYD","Inspectorate","BDP","MAERSK","2022-11-18","605","2022-04-27","27","40","1236876312","2022-12-20","25","2022-12-25","100","2022-06-23","","","JORF LASFAR","0","0","0","2","0","0","0","0","0","0","0","0","0","Sent","1383","Signed OCP","19423","Paid\"
